
Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
All
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs MEM	1.15	1.79	1.91	1.20	1.33	1.18	0.78	0.39	1.59
vs POR	0.76	0.69	1.39	-0.19	1.16	2.07	1.09	0.31	0.12
vs WAS	0.59	0.40	-0.07	1.78	1.63	0.84	0.76	-0.01	-0.17
vs UTA	0.51	0.76	1.24	-0.35	0.64	1.21	0.73	0.36	-0.20
vs OKC	0.46	1.42	1.65	-1.38	1.67	-0.17	-0.35	1.83	-0.69
vs CLE	0.44	0.89	1.51	-0.73	1.76	-0.32	0.02	0.59	0.08
vs BOS	0.34	-0.15	0.64	-0.90	0.93	-0.39	0.67	1.05	1.06
vs NOR	0.33	1.19	0.40	-0.50	-0.27	0.22	0.03	1.20	0.54
vs CHI	0.26	1.21	0.09	-0.18	0.12	0.49	-0.44	1.00	-0.09
vs BKN	0.23	-0.04	-0.07	0.32	0.58	-0.45	0.76	0.42	0.35
vs ORL	0.19	-0.09	-0.06	-1.94	-0.05	0.83	1.28	1.15	0.39
vs MIA	0.13	0.89	0.10	1.24	0.14	1.21	-1.65	0.07	-1.02
vs LAL	-0.02	0.64	0.79	-1.39	-0.70	0.60	-1.25	0.99	-0.04
vs PHO	-0.05	0.07	0.42	0.73	-0.42	-0.77	-0.96	0.51	-0.20
vs NYK	-0.05	-0.18	-0.41	-0.15	-0.61	-1.22	1.23	0.26	0.43
vs TOR	-0.08	0.82	-0.07	-1.12	-0.83	-1.31	0.80	0.92	-0.12
vs MIN	-0.09	0.82	0.04	-1.10	0.00	0.22	-1.52	0.76	-0.21
vs MIL	-0.17	0.93	1.27	0.64	0.82	0.04	-0.36	0.00	0.44
vs DAL	-0.17	-0.61	-0.65	0.51	-0.18	-0.68	0.63	0.10	-0.87
vs DEN	-0.18	-1.05	-0.58	0.63	-0.70	-0.44	0.26	-0.87	0.92
vs SAS	-0.22	-1.53	-0.17	1.06	-1.36	-0.15	0.63	-1.03	0.39
vs HOU	-0.25	-0.26	-0.40	0.44	0.17	-0.88	-1.81	-0.98	1.30
vs ATL	-0.25	-0.28	-0.92	1.46	0.67	-1.63	-0.26	0.16	-1.62
vs SAC	-0.26	-0.75	-1.33	-0.64	-0.53	-0.20	0.88	-0.87	0.91
vs GSW	-0.34	-0.84	-0.83	0.24	-0.34	-0.49	0.58	-0.48	-1.09
vs LAC	-0.37	-1.04	-0.71	-0.74	-0.10	-0.32	-0.61	-0.66	0.70
vs PHI	-0.49	-1.49	-1.42	1.16	-0.48	-0.15	0.15	-1.80	-0.55
vs IND	-0.69	-1.45	-1.96	1.46	-1.12	-0.70	-0.24	-1.88	-0.50
vs CHA	-0.80	-0.69	-0.02	-0.96	-1.33	-1.32	-2.63	-1.96	1.50
vs DET	-0.91	-2.07	-1.75	-0.61	-2.60	2.70	0.81	-1.52	-3.37

NBA 25-26

Past 2 Weeks
Ease for Selected Position 
All
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs UTA	1.04	1.99	2.00	0.49	2.01	1.39	-0.15	1.93	-0.26
vs MEM	0.87	1.83	2.18	0.53	0.90	0.30	1.15	0.71	0.22
vs POR	0.79	1.11	0.85	0.01	0.83	1.26	2.21	0.48	0.37
vs BKN	0.70	-0.56	-0.94	0.99	0.69	0.11	0.86	0.51	0.18
vs NOR	0.65	1.33	0.64	0.19	0.16	1.07	1.18	0.93	0.37
vs WAS	0.40	0.86	-0.83	0.86	1.25	1.87	0.01	-0.16	-0.27
vs DAL	0.31	-0.39	-0.12	0.75	0.02	1.43	0.76	-0.17	0.56
vs ORL	0.27	0.13	0.09	-0.73	0.11	-0.22	0.92	1.76	0.42
vs CHI	0.24	1.02	0.21	-0.13	0.22	0.13	-0.72	0.12	1.33
vs MIL	0.23	0.31	0.77	0.24	0.45	-0.35	-0.86	0.44	1.05
vs DEN	0.15	-0.01	-0.10	1.41	-0.69	-0.59	0.67	-0.28	0.99
vs NYK	0.14	0.20	-0.08	0.31	-0.50	-0.79	0.54	1.18	0.37
vs CLE	0.10	0.65	1.71	-1.19	0.42	-0.24	-0.62	0.20	-0.06
vs ATL	0.05	-0.42	-0.77	1.80	0.70	-0.06	0.40	0.40	-1.63
vs GSW	0.03	-0.27	-0.43	0.53	1.20	-1.09	0.17	1.08	-0.91
vs LAC	0.00	-0.30	-0.72	-0.49	0.59	0.63	-0.12	-0.57	1.01
vs OKC	-0.02	0.73	1.07	0.33	0.28	-1.91	0.04	0.80	-1.56
vs BOS	-0.03	-0.42	1.40	-0.71	0.66	-1.51	0.27	0.17	1.58
vs MIA	-0.08	-0.09	-0.10	1.63	-0.28	0.79	-0.47	-1.23	-0.94
vs IND	-0.22	0.59	-1.06	-0.11	0.25	-0.38	-0.65	-0.46	-0.17
vs LAL	-0.23	-0.11	-0.61	-1.73	-0.13	0.75	-1.77	0.71	0.85
vs SAS	-0.25	-1.17	-0.02	1.76	-1.66	-0.34	0.95	-1.37	-0.36
vs PHI	-0.27	0.60	0.11	-0.48	0.23	-0.48	-0.42	-0.56	-1.43
vs SAC	-0.46	-0.93	-2.06	-0.03	-0.83	0.06	0.50	-1.57	0.74
vs MIN	-0.48	-0.32	-0.13	-1.52	-0.08	-0.55	-1.69	0.02	0.00
vs HOU	-0.59	-1.65	-1.08	-1.01	-0.41	0.10	-1.38	-0.88	0.99
vs PHO	-0.73	-0.19	0.48	0.20	-0.82	-1.67	-1.96	0.57	-0.73
vs CHA	-0.74	-1.38	-0.56	-1.67	-1.21	0.18	-1.03	-1.92	0.94
vs TOR	-0.78	-0.53	-0.67	-1.04	-1.19	-1.53	-0.12	-0.95	-0.99
vs DET	-1.08	-2.61	-1.24	-1.19	-3.17	1.66	1.34	-1.91	-2.63

Full Season
Ease for Selected Position 
All
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs UTA	1.44	2.78	1.94	0.42	2.53	0.52	1.19	2.28	0.77
vs WAS	1.21	1.84	0.64	1.91	1.45	1.62	1.19	0.41	1.33
vs NOR	0.87	1.38	1.18	0.44	1.61	-0.20	1.73	1.44	0.00
vs POR	0.61	0.88	-0.26	0.10	0.78	2.26	2.18	-0.39	-0.67
vs MEM	0.54	0.69	1.54	0.76	0.51	0.30	0.83	0.17	0.03
vs CHI	0.36	0.76	0.24	0.72	0.31	0.48	1.16	0.49	1.53
vs ATL	0.36	0.69	0.43	0.83	0.78	0.57	-0.33	0.66	-0.76
vs CLE	0.23	0.73	0.60	0.23	0.49	0.60	-0.64	0.46	-0.88
vs MIL	0.23	0.56	0.72	0.15	0.15	0.07	-1.45	0.71	0.70
vs SAC	0.22	0.17	-0.80	0.41	0.79	0.30	0.38	0.14	0.10
vs MIA	0.19	0.37	0.49	1.72	0.29	0.18	0.86	-1.27	-1.06
vs LAL	0.08	0.54	0.58	-1.70	0.49	0.65	-1.69	1.82	-0.13
vs BKN	0.03	-0.69	-0.90	-0.30	0.67	0.41	-0.39	1.06	0.11
vs CHA	-0.01	-0.02	-0.04	-1.50	0.29	-0.02	-0.80	0.74	1.22
vs DEN	-0.05	0.39	0.49	-0.62	0.30	-0.77	0.01	0.43	1.78
vs DAL	-0.10	-0.85	-1.13	1.26	-0.05	0.69	-0.12	-1.85	0.97
vs NYK	-0.13	0.17	1.03	-0.77	-1.12	-1.37	-0.56	0.80	0.31
vs LAC	-0.14	-0.89	-0.12	-0.72	-0.56	0.38	-0.50	0.16	0.92
vs IND	-0.20	0.16	-1.79	1.55	-0.96	-1.11	-0.55	-0.10	0.08
vs SAS	-0.30	-0.67	0.06	-0.42	-0.13	-0.86	-0.67	-0.65	0.58
vs PHI	-0.35	-0.54	-1.07	0.27	0.10	-1.09	0.10	-1.14	-0.34
vs ORL	-0.44	-1.05	-1.71	-0.42	-1.31	-0.63	1.06	-0.02	-0.33
vs TOR	-0.46	-1.14	-1.13	-0.15	-1.35	-0.03	0.77	-0.85	-0.90
vs PHO	-0.54	-0.91	-0.52	0.00	-0.68	-0.08	-0.51	-0.60	-1.89
vs OKC	-0.55	-0.61	1.20	0.16	-1.06	-1.30	-1.08	-0.68	-1.89
vs BOS	-0.56	-0.10	1.55	-0.63	0.00	-2.92	-1.07	0.01	0.52
vs DET	-0.58	-0.97	-0.76	-1.15	-2.00	1.26	1.30	-1.88	-1.98
vs MIN	-0.59	-0.86	-0.99	-0.20	-0.57	-0.67	-0.86	-1.34	-0.26
vs HOU	-0.68	-1.71	-0.67	-2.64	-1.59	0.59	-0.58	-0.56	0.94
vs GSW	-0.69	-1.10	-0.79	0.28	-0.16	0.18	-0.94	-0.45	-0.82

Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
PG
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs HOU	0.87	1.96	1.83	1.10	0.29	-0.34	0.84	1.47	0.63
vs POR	0.74	-0.35	0.06	0.98	0.84	1.05	-0.95	-0.26	1.06
vs OKC	0.56	1.39	1.82	-1.00	0.94	0.03	-1.12	2.25	0.67
vs NOR	0.53	1.34	1.66	-0.85	-0.12	0.31	1.32	1.32	-0.24
vs BOS	0.39	0.30	1.16	-0.28	1.76	-0.91	1.72	0.70	-0.92
vs LAL	0.37	2.28	1.79	-0.50	-0.68	0.38	-0.60	1.08	-0.47
vs SAC	0.34	0.36	-0.29	-0.16	0.30	0.57	1.14	0.57	0.59
vs MIA	0.24	0.69	0.41	0.86	-0.05	0.62	-0.51	0.66	-0.51
vs UTA	0.21	-0.40	0.60	-1.43	0.33	2.20	2.46	-0.61	-1.25
vs CLE	0.21	-0.43	0.15	0.51	1.73	-1.03	0.58	-0.16	0.51
vs TOR	0.20	0.45	-0.11	0.09	-0.02	-0.45	0.46	0.70	0.68
vs SAS	0.19	-0.33	-0.31	1.37	-1.41	1.52	0.70	-0.56	0.70
vs ORL	0.14	1.14	1.08	-1.72	-1.69	1.93	-1.12	1.22	0.45
vs MEM	0.11	-0.34	-0.28	-1.02	2.68	-1.95	0.55	-0.59	1.90
vs CHA	-0.01	0.00	-0.30	-2.13	0.04	1.05	-0.02	-0.26	1.54
vs BKN	-0.01	0.01	0.06	0.23	0.23	-1.41	1.57	0.58	0.94
vs LAC	-0.14	-0.28	-0.55	0.65	-0.41	0.24	-1.12	-0.65	0.81
vs NYK	-0.18	0.31	-0.01	-1.17	-0.21	-1.24	0.08	0.04	0.55
vs CHI	-0.21	0.29	0.31	-0.78	-0.90	0.19	-0.23	0.43	-1.26
vs MIN	-0.23	-0.76	-1.18	-0.27	0.44	-0.26	0.00	-0.38	0.32
vs PHI	-0.29	-0.08	-0.50	0.36	-1.41	0.42	-0.93	-0.24	-0.25
vs ATL	-0.30	-0.26	-0.53	0.20	0.17	-1.00	0.44	0.02	-1.70
vs MIL	-0.34	-0.40	0.16	1.30	-0.12	-1.04	-0.64	-1.16	1.22
vs DEN	-0.36	-1.57	-1.22	0.20	-0.45	-0.10	0.58	-1.10	0.40
vs WAS	-0.37	-1.26	-1.21	0.14	1.44	0.46	-1.12	-0.75	-1.03
vs PHO	-0.37	0.71	0.56	-1.08	-0.99	-0.45	-1.12	0.60	-1.58
vs IND	-0.45	-0.77	-0.80	0.81	-0.46	-0.42	-0.23	-1.04	-1.15
vs GSW	-0.46	-0.77	-1.14	0.56	-0.72	-0.80	-0.50	-0.53	-0.21
vs DAL	-0.52	-0.86	-1.22	1.23	-0.82	-0.70	-1.12	-0.44	-0.74
vs DET	-0.87	-2.40	-1.99	1.80	-0.73	1.13	-1.12	-2.88	-1.66

Past 2 Weeks
Ease for Selected Position 
PG
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs HOU	0.65	2.61	2.77	-1.03	-0.41	-0.39	-0.98	3.01	-0.16
vs UTA	0.41	0.75	1.60	-0.22	-0.36	2.04	0.42	0.10	-0.98
vs POR	0.41	-0.14	-0.24	0.70	0.59	-0.02	1.02	-0.10	1.48
