
Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
SG
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs POR	0.63	1.23	1.66	-0.88	1.17	1.70	0.76	0.75	-0.35
vs LAL	0.62	0.70	1.28	-1.16	-0.59	0.25	-0.89	1.93	0.79
vs MEM	0.58	-0.50	0.55	0.90	0.42	0.32	3.43	-0.28	0.74
vs NOR	0.47	0.80	0.61	0.22	0.71	1.19	0.02	1.01	0.04
vs PHO	0.44	0.56	0.62	0.70	-1.00	-0.76	-0.65	1.24	0.43
vs TOR	0.41	1.62	0.54	-0.28	0.09	-0.22	0.40	1.97	-0.12
vs OKC	0.39	0.70	0.94	-0.48	0.81	0.58	-0.14	1.37	0.07
vs BKN	0.36	1.22	1.11	0.04	0.28	-0.63	0.50	1.11	-0.05
vs CHI	0.33	0.54	-0.39	1.17	0.41	0.41	-0.14	0.66	0.64
vs DEN	0.24	-0.61	-0.65	1.76	0.95	0.96	0.03	-0.64	0.66
vs MIL	0.17	0.78	0.98	0.36	-0.20	0.61	-0.96	0.24	0.04
vs UTA	0.10	-0.31	0.20	-0.22	-0.78	0.84	1.54	-0.16	0.11
vs MIA	0.07	0.55	0.10	0.93	0.02	-0.14	-0.65	0.45	-0.29
vs ORL	-0.01	-1.61	-1.08	1.44	1.31	-1.12	0.90	0.39	0.04
vs BOS	-0.02	0.22	0.82	-1.65	-0.79	0.05	0.83	-0.21	0.88
vs SAC	-0.05	-0.01	-0.60	0.66	0.24	-0.68	-0.34	-0.57	1.20
vs CLE	-0.06	-0.30	0.16	-0.49	0.10	0.61	0.30	-0.63	0.06
vs NYK	-0.07	0.14	-0.12	1.07	0.08	-0.55	-0.73	0.07	-0.29
vs PHI	-0.11	-0.27	-1.06	0.79	0.87	0.48	-0.24	-1.34	0.12
vs HOU	-0.12	0.12	0.17	1.70	-1.57	-1.46	-0.64	-0.73	1.67
vs DAL	-0.13	0.04	-0.36	-1.31	0.81	0.51	-0.78	0.12	0.11
vs SAS	-0.13	-0.39	0.44	-0.36	-0.56	0.59	-0.81	0.00	0.22
vs WAS	-0.17	-0.61	-1.12	0.05	-0.65	0.91	-0.54	0.28	0.48
vs GSW	-0.32	-0.22	-0.82	-1.46	0.02	-0.02	1.35	-0.51	-0.88
vs IND	-0.34	0.02	-0.21	0.85	-1.33	-1.00	0.09	-0.49	-0.65
vs MIN	-0.38	0.31	-0.12	-1.24	1.22	-1.11	-1.34	-0.27	-0.52
vs LAC	-0.46	-0.38	-0.29	-0.73	-0.64	-0.64	-0.45	-0.38	-0.27
vs ATL	-0.61	-1.26	-1.32	-0.08	0.90	-1.62	0.44	-1.64	-0.60
vs CHA	-0.65	0.61	1.20	-0.96	-3.27	-2.20	0.40	-1.48	0.14
vs DET	-1.19	-3.73	-3.25	-1.36	0.96	2.16	-1.67	-2.24	-4.38

Settings

NBA 25-26

Past 2 Weeks
Ease for Selected Position 
SG
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs MEM	0.85	0.33	1.49	0.52	0.52	-0.07	2.63	0.38	-0.38
vs NOR	0.82	2.01	1.99	0.11	-0.15	0.86	0.84	1.58	-0.16
vs UTA	0.61	1.03	1.60	1.05	1.80	1.06	0.22	1.33	-0.67
vs DEN	0.53	0.72	0.42	1.58	-0.26	0.70	0.54	0.79	0.29
vs CHI	0.39	0.87	0.53	1.27	-0.33	-0.10	-0.14	0.04	0.90
vs DAL	0.35	-0.37	-0.25	-1.37	1.37	2.80	0.29	-0.08	1.68
vs IND	0.35	0.01	-0.71	0.34	1.33	0.37	1.42	0.30	0.01
vs LAL	0.28	0.45	0.63	-0.83	-0.85	0.44	-0.60	2.16	1.44
vs MIL	0.24	0.76	0.65	0.05	0.47	-0.30	-2.05	1.36	1.30
vs POR	0.21	0.48	0.66	-0.48	0.65	0.72	0.47	-0.65	-0.04
vs NYK	0.09	0.31	-0.42	0.76	-0.73	-0.15	0.30	-0.22	0.46
vs PHI	0.08	0.51	-0.94	0.39	1.20	0.04	-0.58	-0.35	-0.09
vs TOR	0.08	1.51	0.86	-0.41	-0.37	-1.14	0.17	0.75	-1.35
vs BKN	0.06	-0.24	0.03	-0.33	-0.18	0.64	0.15	0.14	0.35
vs WAS	0.05	0.62	-1.35	0.65	-0.36	1.63	-1.39	0.23	-0.72
vs PHO	0.01	0.42	1.00	-0.27	-1.82	-1.41	-0.42	0.61	-0.54
vs LAC	-0.01	0.34	-0.13	-1.38	0.19	0.06	-0.28	1.10	0.58
vs GSW	-0.08	0.60	-0.16	-0.64	1.00	-0.23	-0.22	1.03	-2.05
vs MIA	-0.11	0.66	-0.24	1.58	0.03	-0.39	0.26	-0.87	-0.08
vs HOU	-0.16	-1.02	-0.65	1.04	-0.76	-0.17	-0.77	-0.64	1.53
vs BOS	-0.18	-0.35	1.67	-0.73	-0.24	-1.68	0.99	-0.87	0.58
vs CLE	-0.19	-0.69	0.72	-1.39	0.22	0.38	0.51	0.03	-0.82
