
Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
PF
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs MEM	1.00	1.68	1.81	2.27	-1.40	2.99	-0.76	0.73	1.63
vs CHI	0.87	2.85	3.06	-0.04	0.43	-0.69	-1.59	3.81	0.02
vs UTA	0.67	0.68	1.04	0.73	2.31	-0.19	0.84	0.77	0.68
vs WAS	0.53	1.19	0.61	2.41	0.89	0.15	0.74	-0.33	-0.94
vs MIL	0.50	0.60	0.66	0.76	1.15	-0.05	1.03	0.44	-0.06
vs OKC	0.28	0.57	1.10	-0.38	0.85	-0.18	-0.19	0.72	0.04
vs DEN	0.27	0.64	0.79	0.55	-0.03	-1.16	-0.02	0.69	0.96
vs POR	0.21	0.27	0.56	0.07	-0.57	0.94	1.25	-0.02	-0.67
vs CLE	0.20	0.05	0.52	-1.57	1.44	-0.41	-0.15	0.50	1.42
vs ORL	0.16	0.84	0.59	-1.64	-0.31	1.46	0.36	0.48	-0.34
vs NYK	0.16	-0.25	-0.07	-0.06	-1.00	-0.21	1.64	0.66	0.72
vs NOR	0.15	-0.42	-0.62	-0.41	-0.17	0.49	-0.77	-0.22	1.01
vs BOS	0.15	-0.23	-0.66	0.25	0.14	1.01	-0.65	0.14	1.36
vs GSW	0.11	-0.88	-1.09	1.06	0.03	-0.40	1.13	-0.55	1.65
vs ATL	0.03	0.30	-0.07	1.07	0.76	-0.27	0.09	0.23	-1.86
vs DET	0.03	1.21	0.23	-0.21	-2.16	2.43	1.05	0.23	-0.16
vs IND	0.02	-0.48	-0.92	0.00	1.04	-0.43	0.44	-0.45	0.91
vs PHI	-0.05	-0.40	-0.15	0.99	-0.29	-0.55	0.51	-0.20	-0.33
vs DAL	-0.14	0.00	0.05	0.15	-1.28	-1.17	0.90	0.26	-0.15
vs CHA	-0.16	-1.26	-1.00	-0.59	1.27	-0.26	-1.94	-1.39	0.25
